Region,UTLA,LTLA,"Level of Restrictions (H, M, L)",Start Date,End Date,Comment
"	East of England",Luton,Luton ,L,25/07/2020,30/07/2020,
East Midlands,Leicester,Leicester,H,01/08/2020,15/09/2020,
East Midlands,Leicestershire,Blaby,L,30/06/2020,18/07/2020,
East Midlands,Leicestershire,Charnwood,L,30/06/2020,18/07/2020,
East Midlands,Leicestershire,Oadby and Wigston ,H,30/06/2020,01/08/2020,
East Midlands,Leicestershire,Oadby and Wigston ,H,22/09/2020,,
East Midlands,Northamptonshire,Northampton ,M,26/08/2020,11/09/2020,
North East,County Durham,County Durham,H,18/09/2020,,
North East,Gateshead,Gateshead,H,18/09/2020,,
North East,Newcastle upon Tyne,Newcastle upon Tyne,H,18/09/2020,,
North East,"North Tyneside	",North Tyneside,H,18/09/2020,,
North East,Northumberland,Northumberland,H,18/09/2020,,
North East,South Tyneside,South Tyneside,H,18/09/2020,,
North East,Sunderland,Sunderland,H,18/09/2020,,
North West,Blackburn with Darwen,Blackburn with Darwen,H,22/08/2020,08/09/2020,Can't socialise with household date
North West,Blackburn with Darwen,Blackburn with Darwen,H,22/09/2020,,
North West,Bolton,Bolton,H,01/08/2020,,
North West,Bury,Bury,L,01/08/2020,,
North West,Lancashire,Burnley,M,01/08/2020,02/09/2020,
North West,Lancashire,Burnley,M,22/09/2020,,
North West,Lancashire,Chorley,L,22/09/2020,,
North West,Lancashire,Fylde,L,22/09/2020,,
North West,Lancashire,Hyndburn,M,01/08/2020,02/09/2020,
North West,Lancashire,Hyndburn,M,22/09/2020,,
North West,Lancashire,Lancaster,L,22/09/2020,,
North West,Lancashire,Pendle,H,22/08/2020,,Can't socialise with household date
North West,Lancashire,Preston ,M,08/08/2020,,
North West,Lancashire,Ribble Valley,L,22/09/2020,,
North West,Lancashire,Rossendale,M,01/08/2020,26/08/2020,
North West,Lancashire,Rossendale,M,22/09/2020,,
North West,Lancashire,South Ribble,L,22/09/2020,,
North West,Lancashire,West Lancashire,L,22/09/2020,,
North West,Lancashire,Wyre,L,22/09/2020,,
North West,Manchester,Manchester,L,01/08/2020,,
North West,Oldham,Oldham,M,01/08/2020,,
North West,Rochdale,Rochdale,M,01/08/2020,,
North West,Salford,Salford,M,01/08/2020,,
North West,Stockport,Stockport,M,22/08/2020,02/09/2020,
North West,Stockport,Stockport,M,26/09/2020,,
North West,Tameside,Tameside,M,01/08/2020,,
North West,Trafford,Trafford,M,26/09/2020,,
North West,Wigan,Wigan,M,01/08/2020,26/08/2020,
"North West	",Blackpool,Blackpool,M,26/09/2020,,
"North West	",Halton,Halton,M,22/09/2020,,
"North West	",Knowsley,Knowsley,M,22/09/2020,,
"North West	",Liverpool,Liverpool,M,22/09/2020,,
"North West	",Sefton,Sefton,M,22/09/2020,,
"North West	",St. Helens,St. Helens,M,22/09/2020,,
"North West	",Warrington,Warrington,M,22/09/2020,,
"North West	",Wirral,Wirral,M,22/09/2020,,
West Midlands,Birmingham,Birmingham,L,15/09/2020,,
West Midlands,Sandwell,Sandwell,L,15/09/2020,,
West Midlands,Solihull,Solihull,L,15/09/2020,,
West Midlands,Wolverhampton,Wolverhampton,M,22/09/2020,,
Yorkshire and The Humber,Calderdale,Calderdale,M,01/08/2020,02/09/2020,
Yorkshire and The Humber,Calderdale,Calderdale,M,22/09/2020,,
Yorkshire and The Humber,Leeds,Leeds,M,26/09/2020,,
"Yorkshire and The Humber	",Bradford,Bradford,H,01/08/2020,08/09/2020,
"Yorkshire and The Humber	",Kirklees,Kirklees,M,01/08/2020,02/09/2020,
"Yorkshire and The Humber	",Kirklees,Kirklees,M,22/09/2020,,
